0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"12,939",1.99%,"7,219","5,720","4,116","4,116","1,604",-34,-10,"1,648",198,"1,450",-1.23%,"1,528","1,543",-2.68%,0.95,0.94,1.08%,-319,-0.21,0.340,11.48%,44.21%,12.40%,11.21%,-2.47%,12.01%,"1,800",13.91%,186,"1,614",12.47%
"12,825",4.83%,"7,230","5,595","4,374","4,374","1,221",-28,3,"1,246",215,"1,031",-28.35%,"1,536","1,556",-2.49%,0.68,0.66,-26.67%,"1,984",1.29,0.340,11.48%,43.63%,9.52%,8.04%,15.47%,17.26%,"1,454",11.34%,236,"1,218",9.50%
"12,390",13.97%,"7,019","5,371","3,959","3,959","1,412",-7,-58,"1,477",237,"1,240",-11.17%,"1,544","1,565",-2.85%,0.80,0.79,-9.20%,"2,030",1.31,0.340,11.48%,43.35%,11.40%,10.01%,16.38%,16.05%,"1,614",13.03%,144,"1,470",11.86%
"13,315",17.24%,"7,604","5,711","4,124","4,124","1,587",16,-79,"1,650",319,"1,331",-0.45%,"1,559","1,572",-2.78%,0.85,0.85,2.41%,765,0.49,0.305,-,42.89%,11.92%,10.00%,5.75%,19.33%,"1,985",14.91%,319,"1,666",12.51%
"12,687",3.58%,"7,072","5,615","3,920","3,920","1,695",13,-146,"1,828",360,"1,468",-21.66%,"1,567","1,586",-2.09%,0.94,0.93,-19.83%,93,0.06,0.305,10.91%,44.26%,13.36%,11.57%,0.73%,19.69%,"2,001",15.77%,160,"1,841",14.51%
"12,234",-0.89%,"6,731","5,503","4,035","4,035","1,468",40,54,"1,374",-65,"1,439",-4.64%,"1,572","1,596",-1.23%,0.92,0.90,-4.26%,909,0.58,0.305,10.91%,44.98%,12.00%,11.76%,7.43%,-4.73%,"1,710",13.98%,296,"1,414",11.56%
"10,871",4.96%,"5,804","5,067","3,438","3,438","1,629",53,-94,"1,670",274,"1,396",-3.66%,"1,579","1,611",-0.38%,0.88,0.87,-3.33%,15,0.01,0.305,-44.55%,46.61%,14.98%,12.84%,0.14%,16.41%,"1,906",17.53%,183,"1,723",15.85%
"11,357",1.01%,"6,144","5,213","3,759","3,759","1,454",55,-102,"1,501",164,"1,337",6.87%,"1,582","1,617",0.49%,0.84,0.83,6.41%,"2,579",1.63,-,-,45.90%,12.80%,11.77%,22.71%,10.93%,"1,749",15.40%,193,"1,556",13.70%
"12,248",15.61%,"6,552","5,696","3,572","3,572","2,124",57,-39,"2,106",232,"1,874",23.45%,"1,582","1,620",1.65%,1.18,1.16,22.11%,927,0.59,0.275,12.24%,46.51%,17.34%,15.30%,7.57%,11.02%,"2,331",19.03%,168,"2,163",17.66%
"12,344",95.53%,"6,689","5,655","3,742","3,742","1,913",63,-4,"1,854",345,"1,509",-,"1,579","1,616",2.09%,0.96,0.94,-,"1,838",1.16,0.275,12.24%,45.81%,15.50%,12.22%,14.89%,18.61%,"2,138",17.32%,221,"1,917",15.53%
"10,357",2.50%,"5,638","4,719","3,041","3,041","1,678",64,-22,"1,636",187,"1,449",71.07%,"1,578","1,617",1.59%,0.92,0.90,69.81%,"1,113",0.70,0.550,124.49%,45.56%,16.20%,13.99%,10.75%,11.43%,"1,812",17.50%,112,"1,700",16.41%
"11,243",8.88%,"6,396","4,847","3,267","3,267","1,580",70,54,"1,456",205,"1,251",12.20%,"1,573","1,610",0.95%,0.80,0.78,11.43%,"2,305",1.47,-,-,43.11%,14.05%,11.13%,20.50%,14.08%,"1,773",15.77%,247,"1,526",13.57%
"10,594",-0.62%,"5,853","4,741","2,975","2,975","1,766",65,-14,"1,715",197,"1,518",11.05%,"1,562","1,593",-0.26%,0.97,0.95,10.47%,706,0.45,0.245,11.36%,44.75%,16.67%,14.33%,6.66%,11.49%,"1,997",18.85%,217,"1,780",16.80%
"6,313",-38.01%,"3,960","2,353","3,191","3,191",-838,50,-84,-804,-14,-790,-,"1,556","1,583",-1.65%,-0.50,-0.49,-,-290,-0.19,0.245,-44.32%,37.27%,-13.27%,-12.51%,-4.59%,-,-531,-8.41%,223,-754,-11.94%
"10,104",5.13%,"5,631","4,473","3,283","3,283","1,190",12,297,881,34,847,-23.07%,"1,556","1,592",-1.12%,0.54,0.53,-22.06%,905,0.58,0.245,-,44.27%,11.78%,8.38%,8.96%,3.86%,"1,427",14.12%,534,893,8.84%
"10,326",10.16%,"5,782","4,544","3,324","3,324","1,220",12,-41,"1,249",134,"1,115",31.64%,"1,561","1,594",-1.62%,0.71,0.70,34.62%,674,0.43,0.245,11.36%,44.01%,11.81%,10.80%,6.53%,10.73%,"1,448",14.02%,187,"1,261",12.21%
"10,660",7.16%,"5,789","4,871","3,328","3,328","1,543",15,-33,"1,561",194,"1,367",25.18%,"1,562","1,598",-2.26%,0.87,0.86,28.36%,110,0.07,0.220,-45.00%,45.69%,14.47%,12.82%,1.03%,12.43%,"1,751",16.43%,175,"1,576",14.78%
"10,184",4.04%,"5,551","4,633","3,406","3,406","1,227",12,-28,"1,243",254,989,-13.02%,"1,570","1,609",-1.84%,0.63,0.62,-10.14%,"1,737",1.11,0.440,120.00%,45.49%,12.05%,9.71%,17.06%,20.43%,"1,439",14.13%,184,"1,255",12.32%
"9,611",6.98%,"5,272","4,339","3,091","3,091","1,248",12,-55,"1,291",190,"1,101",-,"1,573","1,610",-0.86%,0.70,0.68,-,852,0.54,-,-,45.15%,12.99%,11.46%,8.86%,14.72%,"1,490",15.50%,187,"1,303",13.56%
"9,374",9.59%,"5,269","4,105","3,142","3,142",963,14,-48,997,150,847,10.43%,"1,581","1,621",-2.42%,0.54,0.52,13.04%,"1,237",0.78,0.220,-,43.79%,10.27%,9.04%,13.20%,15.05%,"1,182",12.61%,171,"1,011",10.79%
"9,948",9.68%,"5,551","4,397","3,063","3,063","1,334",11,53,"1,270",178,"1,092",14.95%,"1,594","1,634",-0.54%,0.69,0.67,17.54%,958,0.60,0.400,11.11%,44.20%,13.41%,10.98%,9.63%,14.02%,"1,459",14.67%,178,"1,281",12.88%
"9,789",12.82%,"5,411","4,378","3,120","3,120","1,258",12,31,"1,215",78,"1,137",12.80%,"1,606","1,639",-1.12%,0.70,0.69,15.00%,"1,970",1.23,0.200,11.11%,44.72%,12.85%,11.62%,20.12%,6.42%,"1,450",14.81%,223,"1,227",12.53%
"8,984",6.55%,"5,046","3,938","2,767","2,767","1,171",13,-1,"1,159","2,080",-921,-,"1,624","1,624",-1.87%,-0.57,-0.57,-,556,0.34,0.200,11.11%,43.83%,13.03%,-10.25%,6.19%,179.47%,"1,357",15.10%,185,"1,172",13.05%
"8,554",4.57%,"4,876","3,678","2,768","2,768",910,13,18,879,112,767,-8.91%,"1,627","1,661",-0.27%,0.47,0.46,-8.00%,"1,096",0.67,-,-,43.00%,10.64%,8.97%,12.81%,12.74%,"1,079",12.61%,187,892,10.43%
"9,070",0.10%,"5,108","3,962","2,856","2,856","1,106",16,18,"1,072",122,950,-23.94%,"1,643",-,-2.05%,0.58,0.57,-21.92%,305,0.19,0.360,125.00%,43.68%,12.19%,10.47%,3.36%,11.38%,"1,267",13.97%,179,"1,088",12.00%
"8,677",5.25%,"4,854","3,823","2,665","2,665","1,158",18,-28,"1,168",160,"1,008",19.15%,"1,658",-,-1.60%,0.61,0.60,22.45%,633,0.38,0.180,12.50%,44.06%,13.35%,11.62%,7.30%,13.70%,"1,371",15.80%,185,"1,186",13.67%
"8,432",4.98%,"4,682","3,750","2,496","2,496","1,254",19,-88,"1,323",182,"1,141",20.11%,"1,654",-,-2.86%,0.69,0.68,23.64%,851,0.51,0.180,12.50%,44.47%,14.87%,13.53%,10.09%,13.76%,"1,517",17.99%,175,"1,342",15.92%
"8,180",6.43%,"4,564","3,616","2,505","2,505","1,111",15,-18,"1,114",272,842,7.26%,"1,665",-,-2.29%,0.51,0.50,11.11%,759,0.46,0.160,14.29%,44.21%,13.58%,10.29%,9.28%,24.42%,"1,302",15.92%,173,"1,129",13.80%
"9,061",7.69%,"4,938","4,123","2,897","2,897","1,226",7,-62,"1,281",32,"1,249",5.94%,"1,678",-,-1.93%,0.75,0.73,8.96%,511,0.30,0.160,-,45.50%,13.53%,13.78%,5.64%,2.50%,"1,461",16.12%,173,"1,288",14.21%
"8,244",5.98%,"4,458","3,786","2,766","2,766","1,020",5,-58,"1,073",227,846,-2.20%,"1,685",-,-2.02%,0.50,0.49,0%,"1,246",0.74,0.160,14.29%,45.92%,12.37%,10.26%,15.11%,21.16%,"1,246",15.11%,168,"1,078",13.08%
"8,032",7.67%,"4,343","3,689","2,566","2,566","1,123",5,-17,"1,135",185,950,20.10%,"1,703",-,-1.43%,0.56,0.55,22.22%,590,0.35,0.160,-42.86%,45.93%,13.98%,11.83%,7.35%,16.30%,"1,307",16.27%,167,"1,140",14.19%
"7,686",4.15%,"4,185","3,501","2,560","2,560",941,5,-34,970,185,785,19.85%,"1,704",-,-1.08%,0.46,0.45,21.62%,257,0.15,0.140,-,45.55%,12.24%,10.21%,3.34%,19.07%,"1,135",14.77%,160,975,12.69%
"8,414",5.41%,"4,419","3,995","2,577","2,577","1,418",4,-31,"1,445",266,"1,179",22.56%,"1,711",-,-1.49%,0.69,0.67,22.94%,173,0.10,-,-,47.48%,16.85%,14.01%,2.06%,18.41%,"1,603",19.05%,154,"1,449",17.22%
"7,779",4.77%,"4,186","3,593","2,595","2,595",998,4,-58,"1,052",187,865,23.93%,"1,719",-,-2.09%,0.51,0.49,24.05%,"1,102",0.64,0.140,16.67%,46.19%,12.83%,11.12%,14.17%,17.78%,"1,209",15.54%,153,"1,056",13.58%
"7,460",7.00%,"4,034","3,426","2,379","2,379","1,047",6,-5,"1,046",255,791,15.98%,"1,728",-,-2.43%,0.46,0.45,20.00%,"1,556",0.90,0.280,16.67%,45.92%,14.03%,10.60%,20.86%,24.38%,"1,204",16.14%,152,"1,052",14.10%
"7,380",14.76%,"4,053","3,327","2,438","2,438",889,9,2,878,223,655,22.66%,"1,723",-,-3.15%,0.38,0.37,25.42%,639,0.37,-,-,45.08%,12.05%,8.88%,8.66%,25.40%,"1,041",14.11%,154,887,12.02%
"7,982",14.50%,"4,261","3,721","2,480","2,480","1,241",9,3,"1,229",267,962,23.49%,"1,737",-,-2.48%,0.56,0.55,26.74%,423,0.24,0.120,14.29%,46.62%,15.55%,12.05%,5.30%,21.72%,"1,385",17.35%,147,"1,238",15.51%
"7,425",10.87%,"4,040","3,385","2,448","2,448",937,8,17,912,214,698,6.56%,"1,756",-,-1.73%,0.40,0.40,2.60%,"1,120",0.64,0.120,14.29%,45.59%,12.62%,9.40%,15.08%,23.46%,"1,060",14.28%,140,920,12.39%
"6,972",12.69%,"3,869","3,103","2,169","2,169",934,9,45,880,198,682,-21.25%,"1,771",-,-1.14%,0.39,0.38,2.74%,516,0.29,0.240,14.29%,44.51%,13.40%,9.78%,7.40%,22.50%,"1,021",14.64%,132,889,12.75%
"6,431",7.99%,"3,605","2,826","2,091","2,091",735,8,13,714,180,534,39.06%,"1,779",-,-1.28%,0.30,0.29,3.51%,126,0.07,-,-,43.94%,11.43%,8.30%,1.96%,25.21%,846,13.16%,124,722,11.23%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
